model,all_degraded_macro_f1,worst_condition_mean,clean_macro_f1,drift,gain,missing
xgboost,0.9751283710281101,0.8494081394948705,0.9959609518217377,0.9926508521446183,0.9792769381261822,0.9101152263843687
hist_gb,0.9728697918336698,0.8408082559225822,0.994906029264452,0.9909929671506829,0.9767995660415618,0.906710943258955
extra_trees,0.9720086160169303,0.7645350943868535,0.9972194016737148,0.9944128151042946,0.9828826245320782,0.8721739932093935
rf,0.9593935354846013,0.7585100103267245,0.9943259657084097,0.992540541126138,0.9536806738253604,0.8770911035377134
lr,0.9573758071780959,0.6196701475236356,0.9989064457966736,0.9350111335746069,0.9852215626490616,0.9409325615756663
lda,0.9438301739521308,0.6481061587154878,0.9913473303262481,0.9668224044184179,0.9759425717543349,0.7785162891466572
cart,0.8782647568397765,0.5724387831507817,0.9226712840112845,0.9129667798802582,0.8573501726257333,0.8369024403604605
knn,0.8718635945634983,0.4594205728176181,0.9875213743986813,0.9756388862638382,0.8075617807295976,0.7534431609641796
svm_rbf,0.8381187056513348,0.057414962524684435,0.9987391799431511,0.944187485983142,0.6988352313958346,0.9377627874224143
gnb,0.8080855600602668,0.1265785825417198,0.9076404985667682,0.9121061516482156,0.8082333887796368,0.49558029913830975
