model,condition,macro_f1_mean,macro_f1_sd,accuracy_mean,weighted_f1_mean,train_time_s_mean,parameters,n_fold_seed
ft_transformer,clean_reextract,0.9983896007033086,0.004624849746038983,0.9984006734006734,0.9983896007033086,30.74095371666481,929670,30
ft_transformer,electrical_drift_025rms,0.9979688631955933,0.004863191453800312,0.997979797979798,0.9979688631955933,30.74095371666481,929670,30
ft_transformer,electrical_drift_050rms,0.9874017404384818,0.016524515098397103,0.9875420875420875,0.9874017404384818,30.74095371666481,929670,30
ft_transformer,electrical_drift_100rms,0.7944922472293303,0.23702304617826628,0.8214225589225589,0.7944922472293303,30.74095371666481,929670,30
ft_transformer,electrical_gain_025,0.061148086132676006,0.03740234873146537,0.1803030303030303,0.061148086132676006,30.74095371666481,929670,30
ft_transformer,electrical_gain_050,0.06458339130338392,0.04052247097489233,0.17988215488215487,0.06458339130338393,30.74095371666481,929670,30
ft_transformer,electrical_gain_075,0.13259119629062013,0.1050790778888289,0.24503367003367005,0.13259119629062013,30.74095371666481,929670,30
ft_transformer,electrical_missing,0.5971153590240952,0.11899433869475594,0.66506734006734,0.5971153590240952,30.74095371666481,929670,30
ft_transformer,vibration_drift_025rms,0.9983463561625817,0.004833828075770423,0.9983585858585858,0.9983463561625817,30.74095371666481,929670,30
ft_transformer,vibration_drift_050rms,0.9980515068021988,0.005137478631779847,0.998063973063973,0.9980515068021988,30.74095371666481,929670,30
ft_transformer,vibration_drift_100rms,0.9969950344917236,0.006712425502927721,0.9970117845117845,0.9969950344917236,30.74095371666481,929670,30
ft_transformer,vibration_gain_025,0.3890200837854959,0.08199871738250071,0.5039983164983165,0.3890200837854959,30.74095371666481,929670,30
ft_transformer,vibration_gain_050,0.7212076147060379,0.14089974688137075,0.7527356902356902,0.7212076147060379,30.74095371666481,929670,30
ft_transformer,vibration_gain_075,0.9872754432774935,0.022953648407969065,0.9873737373737373,0.9872754432774935,30.74095371666481,929670,30
ft_transformer,vibration_missing,0.2948012305223808,0.07426400862641894,0.39524410774410773,0.2948012305223807,30.74095371666481,929670,30
mlp,clean_reextract,0.9990303750606861,0.0037258562913365855,0.9990319865319865,0.9990303750606861,6.4316907733319875,10758,30
mlp,electrical_drift_025rms,0.997509477674624,0.005982972891314494,0.9975168350168351,0.9975094776746241,6.4316907733319875,10758,30
mlp,electrical_drift_050rms,0.9958195333070052,0.007413887372690015,0.9958333333333333,0.9958195333070052,6.4316907733319875,10758,30
mlp,electrical_drift_100rms,0.9791696731429483,0.019329862871881175,0.9793771043771043,0.9791696731429483,6.4316907733319875,10758,30
mlp,electrical_gain_025,0.05849858199269344,0.027930586936453453,0.17592592592592593,0.05849858199269344,6.4316907733319875,10758,30
mlp,electrical_gain_050,0.07643802600137753,0.04397912303175684,0.1925925925925926,0.07643802600137753,6.4316907733319875,10758,30
mlp,electrical_gain_075,0.19314031125311193,0.0871732492610836,0.31893939393939397,0.19314031125311193,6.4316907733319875,10758,30
mlp,electrical_missing,0.8908692832249261,0.0555512586280194,0.8953282828282828,0.8908692832249261,6.4316907733319875,10758,30
mlp,vibration_drift_025rms,0.9990303750606861,0.0037258562913365855,0.9990319865319865,0.9990303750606861,6.4316907733319875,10758,30
mlp,vibration_drift_050rms,0.9989882832912181,0.003736398617556841,0.998989898989899,0.9989882832912181,6.4316907733319875,10758,30
mlp,vibration_drift_100rms,0.9982625375005354,0.006821552456291566,0.9982744107744107,0.9982625375005354,6.4316907733319875,10758,30
mlp,vibration_gain_025,0.6498048769667476,0.11327962278648074,0.6956228956228956,0.6498048769667476,6.4316907733319875,10758,30
mlp,vibration_gain_050,0.8934181946248887,0.09921317110870938,0.8998316498316499,0.8934181946248887,6.4316907733319875,10758,30
mlp,vibration_gain_075,0.9940619763470114,0.023794666344184385,0.9942340067340066,0.9940619763470117,6.4316907733319875,10758,30
mlp,vibration_missing,0.3735407388473575,0.07408305227294591,0.4433501683501683,0.3735407388473575,6.4316907733319875,10758,30
resnet,clean_reextract,0.999663601067703,0.0009899664878997038,0.9996632996632997,0.999663601067703,13.008820036667748,56838,30
resnet,electrical_drift_025rms,0.999663610085788,0.000806809910320217,0.9996632996632997,0.999663610085788,13.008820036667748,56838,30
resnet,electrical_drift_050rms,0.9977160620117732,0.006254735184592678,0.9977272727272727,0.9977160620117732,13.008820036667748,56838,30
resnet,electrical_drift_100rms,0.8006469853350302,0.09552295561984545,0.8189393939393939,0.8006469853350302,13.008820036667748,56838,30
resnet,electrical_gain_025,0.13825694595994872,0.08432385216924872,0.2713804713804714,0.13825694595994872,13.008820036667748,56838,30
resnet,electrical_gain_050,0.18210082160582394,0.09024980817386243,0.3196127946127946,0.18210082160582394,13.008820036667748,56838,30
resnet,electrical_gain_075,0.26237371906388485,0.07917550829857253,0.40904882154882155,0.26237371906388485,13.008820036667748,56838,30
resnet,electrical_missing,0.8149957153362036,0.09284859159210676,0.831523569023569,0.8149957153362036,13.008820036667748,56838,30
