test_load,seed,model,condition,class_name,recall,collapsed_below_0_1
0,301,mean_da,electrical_drift_100rms,N,0.0,True
0,301,mean_da,electrical_drift_100rms,BR,0.030303030303030304,True
0,303,mean_da,electrical_drift_100rms,N,0.015151515151515152,True
0,303,mean_da,electrical_drift_100rms,BR,0.007575757575757576,True
0,304,mean_da,electrical_drift_100rms,N,0.015151515151515152,True
0,305,mean_da,electrical_drift_100rms,N,0.0,True
0,305,mean_da,electrical_drift_100rms,BR,0.09848484848484848,True
111,301,mean_da,electrical_drift_100rms,N,0.0,True
111,301,mean_da,electrical_drift_100rms,BR,0.022727272727272728,True
111,302,mean_da,electrical_drift_100rms,N,0.07575757575757576,True
111,303,mean_da,electrical_drift_100rms,N,0.0,True
111,303,mean_da,electrical_drift_100rms,BR,0.07575757575757576,True
111,304,mean_da,electrical_drift_100rms,N,0.0,True
111,305,mean_da,electrical_drift_100rms,N,0.0,True
222,301,mean_da,electrical_drift_100rms,N,0.0,True
222,301,mean_da,electrical_drift_100rms,BR,0.0,True
222,302,mean_da,electrical_drift_100rms,N,0.0,True
222,303,mean_da,electrical_drift_100rms,N,0.0,True
222,304,mean_da,electrical_drift_100rms,N,0.0,True
222,305,mean_da,electrical_drift_100rms,N,0.0,True
222,305,mean_da,electrical_drift_100rms,RB5,0.06818181818181818,True
333,301,mean_da,electrical_drift_100rms,N,0.0,True
333,301,mean_da,electrical_drift_100rms,BR,0.007575757575757576,True
333,301,gate_da,electrical_drift_100rms,N,0.09090909090909091,True
333,302,mean_da,electrical_drift_100rms,N,0.0,True
333,303,mean_da,electrical_drift_100rms,N,0.0,True
333,303,mean_da,electrical_drift_100rms,BR,0.007575757575757576,True
333,304,mean_da,electrical_drift_100rms,N,0.0,True
333,305,mean_da,electrical_drift_100rms,N,0.0,True
333,305,mean_da,electrical_drift_100rms,BR,0.06818181818181818,True
333,305,dprf_no_semantic,electrical_drift_100rms,N,0.030303030303030304,True
444,301,mean_da,electrical_drift_100rms,N,0.0,True
444,301,mean_da,electrical_drift_100rms,BR,0.007575757575757576,True
444,302,dprf_no_rel_loss,electrical_drift_100rms,SW,0.03787878787878788,True
444,303,mean_da,electrical_drift_100rms,N,0.0,True
444,304,mean_da,electrical_drift_100rms,N,0.0,True
444,305,mean_da,electrical_drift_100rms,N,0.0,True
555,301,mean_da,electrical_drift_100rms,N,0.007575757575757576,True
555,301,mean_da,electrical_drift_100rms,BR,0.03787878787878788,True
555,302,mean_da,electrical_drift_100rms,N,0.022727272727272728,True
555,302,dprf_no_switch_loss,vibration_missing,BB,0.08333333333333333,True
555,303,mean_da,electrical_drift_100rms,N,0.015151515151515152,True
555,303,mean_da,electrical_drift_100rms,BR,0.09090909090909091,True
555,304,mean_da,electrical_drift_100rms,N,0.0,True
555,304,gate_da,electrical_drift_100rms,RB5,0.09848484848484848,True
555,305,mean_da,electrical_drift_100rms,N,0.0,True
