model,macro_f1,family
dprf_full,0.9625901295155459,missing
dprf_no_rel_loss,0.9599910244296391,missing
dprf_no_semantic,0.9577629473602359,missing
dprf_no_switch_loss,0.9629841653456995,missing
gate_da,0.9623413680583413,missing
mean_da,0.9605712441329347,missing
rcarf_hard,0.9664921545478227,missing
dprf_full,0.9972690045416897,gain
dprf_no_rel_loss,0.9921879051061667,gain
dprf_no_semantic,0.9970278523735955,gain
dprf_no_switch_loss,0.991324669063257,gain
gate_da,0.9871476351882222,gain
mean_da,0.9952782445709759,gain
rcarf_hard,0.984089228808041,gain
dprf_full,0.9906888424195576,drift
dprf_no_rel_loss,0.9783247558345145,drift
dprf_no_semantic,0.9868102722600073,drift
dprf_no_switch_loss,0.9909464286371318,drift
gate_da,0.9753323720737828,drift
mean_da,0.9264491146439009,drift
rcarf_hard,0.9929217167106125,drift
