test_load,model,reliability_mae,switch_mae
0,dprf_full,0.1025983436286333,0.156401127576828
111,dprf_full,0.09689990221144397,0.1596170634031296
222,dprf_full,0.09623988780503472,0.15643634587526323
333,dprf_full,0.09967345742993831,0.15982618490854902
444,dprf_full,0.0985094795554566,0.16168148944775265
555,dprf_full,0.10070182151838404,0.16344031145175297
0,dprf_no_rel_loss,0.3587812963995742,0.16046070754528047
111,dprf_no_rel_loss,0.335682915635601,0.17092058340708416
222,dprf_no_rel_loss,0.3135041491887144,0.1575436153014501
333,dprf_no_rel_loss,0.371244385713862,0.15258417278528216
444,dprf_no_rel_loss,0.3062406174929562,0.16383747845888139
555,dprf_no_rel_loss,0.28522550371601635,0.16264424522717796
0,dprf_no_semantic,0.09835494353341347,0.15896488557259245
111,dprf_no_semantic,0.09781155088130616,0.16300479431947074
222,dprf_no_semantic,0.09839395398371076,0.16086326797803244
333,dprf_no_semantic,0.09750683811532022,0.15569503913323085
444,dprf_no_semantic,0.09751299669869089,0.16180257459481556
555,dprf_no_semantic,0.0981498901316566,0.15290977418422702
0,dprf_no_switch_loss,0.09848093728703133,0.4333903193473816
111,dprf_no_switch_loss,0.09757659607251602,0.43336188077926635
222,dprf_no_switch_loss,0.09383427944208961,0.4334339682261149
333,dprf_no_switch_loss,0.09392843788140454,0.433373441696167
444,dprf_no_switch_loss,0.09642042690473318,0.4334247795740763
555,dprf_no_switch_loss,0.09868815322071894,0.43334916830062864
