test_load,curve,spearman_rho,direction_correct,estimates
0,vibration_gain,1.0,True,"[0.8076510548591613, 0.6310737490653991, 0.4892043173313141]"
0,electrical_gain,1.0,True,"[0.629122519493103, 0.5004383265972138, 0.47847954630851747]"
0,vibration_drift,1.0,True,"[0.889459240436554, 0.886178994178772, 0.8723392963409424]"
0,electrical_drift,1.0,True,"[0.9783341407775878, 0.49606902003288267, 0.3963114798069]"
111,vibration_gain,1.0,True,"[0.7757515192031861, 0.5751554131507873, 0.4131711184978485]"
111,electrical_gain,1.0,True,"[0.6449427366256714, 0.49688676595687864, 0.47314321994781483]"
111,vibration_drift,1.0,True,"[0.8804816842079163, 0.8777271986007691, 0.8660431504249573]"
111,electrical_drift,1.0,True,"[0.998450779914856, 0.49576889276504515, 0.370246946811676]"
222,vibration_gain,1.0,True,"[0.7820212721824646, 0.5768426775932312, 0.4166655421257019]"
222,electrical_gain,1.0,True,"[0.5779895067214966, 0.49939714670181273, 0.4797830581665039]"
222,vibration_drift,1.0,True,"[0.8835052847862244, 0.8791784405708313, 0.8670344591140747]"
222,electrical_drift,1.0,True,"[0.9963028073310852, 0.4919885456562042, 0.311967259645462]"
333,vibration_gain,1.0,True,"[0.7798272728919983, 0.5540201663970947, 0.3964446425437927]"
333,electrical_gain,1.0,True,"[0.5449154376983643, 0.5021793782711029, 0.4901472508907318]"
333,vibration_drift,1.0,True,"[0.8791560173034668, 0.8765997648239136, 0.8648264169692993]"
333,electrical_drift,1.0,True,"[0.9953141927719116, 0.4977175772190094, 0.4124092698097229]"
444,vibration_gain,1.0,True,"[0.7970624327659607, 0.5760295510292053, 0.39650453925132745]"
444,electrical_gain,1.0,True,"[0.5613880157470703, 0.4961699366569519, 0.47621033191680906]"
444,vibration_drift,1.0,True,"[0.887961208820343, 0.8834954977035523, 0.8691114664077759]"
444,electrical_drift,1.0,True,"[0.9980307459831238, 0.5040059685707092, 0.37393727302551266]"
555,vibration_gain,1.0,True,"[0.7805941104888916, 0.5712349653244019, 0.4125636100769043]"
555,electrical_gain,1.0,True,"[0.5444981575012207, 0.5052747011184693, 0.48840826749801636]"
555,vibration_drift,1.0,True,"[0.8779339551925659, 0.872622549533844, 0.8559541702270508]"
555,electrical_drift,1.0,True,"[0.9976208329200744, 0.5385422348976135, 0.3787174195051193]"
